alvo,angle,distance,intensity
180.00,181.61,638,223
270.00,268.05,763,240
270.00,268.81,747,237
270.00,269.66,763,238
270.00,270.50,763,235
270.00,271.35,763,237
0.00,1.01,1760,238
90.00,88.44,1963,237
90.00,89.22,1947,235
90.00,90.00,1947,235
90.00,90.79,1947,238
90.00,91.55,1963,239
180.00,178.76,1245,242
180.00,179.55,1230,242
180.00,180.35,1245,238
180.00,181.14,716,235
180.00,181.93,560,226
270.00,271.83,794,238
0.00,358.23,1713,242
0.00,359.02,1713,241
0.00,359.81,1713,241
0.00,0.61,1713,245
0.00,1.40,1713,243
90.00,88.48,1947,237
90.00,89.25,1947,236
90.00,90.03,1947,235
90.00,90.82,1947,235
90.00,91.60,1947,237
180.00,181.19,10611,84
270.00,268.65,762,238
270.00,269.45,762,238
270.00,270.28,762,236
270.00,271.08,762,235
270.00,271.88,762,236
180.00,178.19,61958,177
90.00,88.49,1962,240
90.00,89.29,1962,237
90.00,90.08,1962,237
90.00,90.87,1947,237
90.00,91.66,1962,237
180.00,178.46,1230,243
180.00,179.25,1245,242
180.00,180.04,1230,242
180.00,180.83,1245,237
180.00,181.62,715,233
270.00,271.74,794,238
0.00,358.73,1713,241
0.00,359.52,1713,240
0.00,0.31,1713,243
0.00,1.10,1713,243
0.00,1.90,1713,241
90.00,88.04,1962,234
90.00,88.83,1947,238
90.00,89.62,1947,238
90.00,90.42,1947,238
90.00,91.21,1947,239
90.00,91.97,1947,237
180.00,180.52,1962,238
270.00,269.08,1962,239
180.00,178.74,1355,241
270.00,268.22,762,239
270.00,269.02,762,236
270.00,269.83,747,237
270.00,270.64,762,235
270.00,271.39,762,237
180.00,180.36,59654,208
90.00,88.16,1962,235
90.00,88.95,1962,236
90.00,89.74,1947,235
90.00,90.53,1947,236
90.00,91.32,1947,238
180.00,178.48,1246,239
180.00,179.27,1246,240
180.00,180.06,1230,241
180.00,180.85,716,228
180.00,181.65,685,225
0.00,358.78,1698,242
0.00,359.61,1713,243
0.00,0.44,1698,240
0.00,1.27,1713,241
270.00,269.47,25102,40
180.00,178.67,1245,243
180.00,179.46,1230,241
180.00,180.24,1230,238
180.00,181.03,716,233
180.00,181.82,607,224
270.00,268.10,762,238
270.00,268.89,747,239
270.00,269.68,762,238
270.00,270.47,762,236
270.00,271.26,762,236
90.00,88.76,1947,237
90.00,89.56,1947,238
90.00,90.35,1962,236
90.00,91.15,1947,237
90.00,91.94,1947,237
180.00,178.66,1245,241
180.00,179.45,1245,242
180.00,180.24,1214,239
180.00,181.03,715,230
180.00,181.82,638,223
0.00,0.20,778,237
0.00,358.53,1713,241
0.00,359.32,1713,241
0.00,0.11,1697,242
0.00,0.90,1713,242
0.00,1.69,1713,244
270.00,271.17,1994,237
180.00,178.82,1245,241
180.00,179.61,1230,240
180.00,180.40,1214,240
180.00,181.19,716,232
180.00,181.98,607,224
270.00,268.42,747,237
270.00,269.21,762,239
270.00,270.00,747,236
270.00,270.79,762,236
270.00,271.58,762,236
90.00,88.41,1962,238
90.00,89.21,1947,238
90.00,90.00,1947,237
90.00,90.80,1947,238
90.00,91.59,1947,238
180.00,178.01,1245,243
180.00,178.80,1245,241
180.00,179.59,1245,242
180.00,180.38,1230,243
180.00,181.17,1245,228
180.00,181.96,716,226
270.00,268.27,762,238
270.00,269.06,762,238
270.00,269.86,762,240
270.00,270.65,762,235
270.00,271.44,762,237
0.00,358.63,1713,240
0.00,359.42,1713,241
0.00,0.21,1713,243
0.00,1.00,1713,243
0.00,1.79,1713,242
180.00,178.07,1246,241
180.00,178.86,1246,241
180.00,179.66,1246,242
180.00,180.45,1246,238
180.00,181.25,716,232
270.00,268.38,762,237
270.00,269.17,762,238
270.00,269.96,762,236
270.00,270.75,762,232
270.00,271.54,762,238
90.00,91.17,61959,255
90.00,88.65,1947,236
90.00,89.44,1962,237
90.00,90.23,1947,237
90.00,91.02,1962,238
90.00,91.81,1962,238
180.00,178.23,1245,243
180.00,179.02,1245,242
180.00,179.82,1245,240
180.00,180.61,1214,237
180.00,181.40,715,231
270.00,271.64,60675,119
0.00,358.67,793,238
90.00,89.35,5097,4
0.00,358.68,1713,241
0.00,359.47,1713,241
0.00,0.26,1713,241
0.00,1.05,1697,243
0.00,1.84,1713,243
90.00,88.26,1962,236
90.00,89.05,1962,238
90.00,89.83,1947,238
90.00,90.62,1962,237
90.00,91.41,1947,235
270.00,268.06,762,237
270.00,268.86,762,238
270.00,269.68,762,240
270.00,270.51,762,236
270.00,271.34,762,236
0.00,358.06,1713,240
0.00,358.85,1713,240
0.00,359.63,1713,242
0.00,0.42,1713,243
0.00,1.21,1713,242
0.00,2.00,1713,243
90.00,91.42,1946,233
270.00,270.35,2009,236
180.00,178.46,1245,243
180.00,179.25,1245,239
180.00,180.04,1245,242
180.00,180.83,731,226
180.00,181.62,653,225
270.00,268.04,762,237
270.00,268.86,747,238
270.00,269.68,762,238
270.00,270.44,762,236
270.00,271.29,762,236
0.00,1.58,662,104
0.00,0.13,1791,241
90.00,88.16,1962,238
90.00,88.96,1947,234
90.00,89.75,1947,236
90.00,90.55,1947,238
90.00,91.34,1962,236
180.00,178.66,1230,241
180.00,179.45,1245,240
180.00,180.25,1245,241
180.00,181.04,715,227
180.00,181.84,638,223
270.00,271.29,47345,5
0.00,358.22,1713,241
0.00,359.03,1713,240
0.00,359.84,1713,241
0.00,0.65,1713,243
0.00,1.46,1713,243
180.00,178.47,1245,242
180.00,179.26,1245,241
180.00,180.05,1245,240
180.00,180.84,1245,223
180.00,181.62,638,224
270.00,268.38,762,237
270.00,269.16,747,238
270.00,269.95,762,241
270.00,270.73,762,235
270.00,271.52,762,235
0.00,359.94,30432,132
90.00,88.54,1962,236
90.00,89.33,1947,237
90.00,90.12,1962,235
90.00,90.90,1947,239
90.00,91.69,1962,238
180.00,178.38,1245,243
180.00,179.16,1245,240
180.00,179.95,1245,241
180.00,180.74,1245,223
180.00,181.53,700,225
0.00,358.16,1713,242
0.00,358.91,1713,241
0.00,359.70,1713,239
0.00,0.50,1713,242
0.00,1.29,1713,243
180.00,178.05,1245,243
180.00,178.88,1245,242
180.00,179.71,1245,242
180.00,180.55,1245,234
180.00,181.38,669,228
270.00,268.25,762,241
270.00,269.05,746,238
270.00,269.84,762,238
270.00,270.63,762,233
270.00,271.43,762,239
0.00,0.81,1775,240
90.00,88.22,1962,237
90.00,89.01,1962,237
90.00,89.81,1947,237
90.00,90.60,1962,239
90.00,91.40,1947,234
180.00,178.06,1245,241
180.00,178.85,1245,241
180.00,179.66,1245,242
180.00,180.47,1230,236
180.00,181.27,715,234
0.00,358.67,1713,241
0.00,359.42,1713,241
0.00,0.21,1713,243
0.00,1.05,1713,241
0.00,1.88,1713,243
90.00,88.26,1947,238
90.00,89.05,1962,237
90.00,89.84,1947,235
90.00,90.62,1947,237
90.00,91.41,1962,236
90.00,90.42,45043,4
270.00,268.47,762,238
270.00,269.26,762,240
270.00,270.04,762,237
270.00,270.83,762,233
270.00,271.62,747,237
0.00,358.73,1728,239
0.00,0.99,1728,238
90.00,88.42,1962,236
90.00,89.22,1947,236
90.00,90.01,1947,236
90.00,90.80,1947,238
90.00,91.59,1962,238
180.00,178.16,1245,244
180.00,178.97,1245,239
180.00,179.79,1245,242
180.00,180.62,1245,227
180.00,181.45,700,228
0.00,358.04,1713,239
0.00,358.83,1713,242
0.00,359.62,1713,243
0.00,0.42,1713,242
0.00,1.21,1713,243
0.00,1.97,1713,244
90.00,88.09,1947,238
90.00,88.89,1962,236
90.00,89.68,1962,234
90.00,90.47,1962,238
90.00,91.27,1947,235
180.00,178.35,1245,241
180.00,179.19,1245,242
180.00,180.03,1245,241
180.00,180.78,1245,2
270.00,268.79,48867,4
270.00,268.53,762,238
270.00,269.33,762,237
270.00,270.12,762,238
270.00,270.92,762,234
270.00,271.71,762,235
0.00,358.81,1775,231
180.00,179.56,61958,68
90.00,88.09,1947,237
90.00,88.88,1962,238
90.00,89.68,1962,236
90.00,90.47,1962,235
90.00,91.27,1947,236
180.00,178.43,1230,242
180.00,179.23,1245,240
180.00,180.03,1230,239
180.00,180.82,731,224
180.00,181.62,669,225
270.00,269.06,825,237
90.00,88.50,934,222
0.00,358.07,1713,241
0.00,358.86,1713,243
0.00,359.65,1713,238
0.00,0.44,1713,241
0.00,1.22,1713,243
90.00,88.77,1962,236
90.00,89.56,1947,237
90.00,90.35,1947,235
90.00,91.14,1962,236
90.00,91.93,1962,237
180.00,180.51,2071,238
270.00,268.56,1308,244
270.00,268.55,762,238
270.00,269.34,762,239
270.00,270.13,762,238
270.00,270.91,762,233
270.00,271.70,762,238
0.00,359.69,1760,239
90.00,88.66,1962,235
90.00,89.45,1962,238
90.00,90.24,1947,239
90.00,91.03,1962,236
90.00,91.82,1962,237
180.00,178.04,1245,244
180.00,178.83,1245,241
180.00,179.62,1245,241
180.00,180.42,1230,242
180.00,181.21,715,231
180.00,178.26,60419,10
0.00,358.61,1713,243
0.00,359.40,1713,243
0.00,0.19,1713,242
0.00,0.98,1713,243
0.00,1.78,1713,241
90.00,88.51,1962,237
90.00,89.31,1962,239
90.00,90.10,1962,236
90.00,90.90,1962,239
90.00,91.70,1962,237
270.00,268.23,762,239
270.00,269.04,762,238
270.00,269.85,762,238
270.00,270.67,762,237
270.00,271.48,762,236
0.00,359.94,1759,238
90.00,88.70,1962,235
90.00,89.49,1946,237
90.00,90.27,1962,236
90.00,91.05,1946,237
90.00,91.83,1962,239
180.00,178.34,1245,242
180.00,179.13,1230,243
180.00,179.92,1230,241
180.00,180.71,1245,229
180.00,181.50,684,229
0.00,358.04,1713,241
0.00,358.83,1713,241
0.00,359.62,1713,241
0.00,0.41,1713,243
0.00,1.20,1713,242
0.00,1.98,1713,241
90.00,88.17,1947,239
90.00,88.92,1947,235
90.00,89.71,1962,237
90.00,90.47,1962,236
90.00,91.24,1947,237
90.00,92.00,1962,239
180.00,181.68,2087,238
270.00,268.31,762,237
270.00,269.06,762,240
270.00,269.88,762,239
270.00,270.70,747,232
270.00,271.53,762,237
0.00,358.65,1713,242
0.00,359.44,1713,241
0.00,0.24,1713,242
0.00,1.03,1713,240
0.00,1.83,1713,243
180.00,178.58,1230,241
180.00,179.38,1245,240
180.00,180.17,1230,241
180.00,180.97,715,229
180.00,181.76,638,223
0.00,358.34,1713,240
0.00,359.13,1713,242
0.00,359.92,1713,244
0.00,0.71,1713,242
0.00,1.50,1713,242
270.00,271.28,60423,201
90.00,90.81,1946,238
90.00,91.58,1962,236
270.00,268.62,746,238
270.00,269.41,746,239
270.00,270.20,762,238
270.00,271.04,762,235
270.00,271.88,762,237
0.00,358.56,1713,243
0.00,359.34,1713,242
0.00,0.13,1713,241
0.00,0.92,1713,242
0.00,1.71,1713,243
90.00,91.75,2024,237
180.00,178.26,1229,240
180.00,179.05,1245,240
180.00,179.84,1245,240
180.00,180.63,1245,230
180.00,181.42,700,228
0.00,358.53,1713,241
0.00,359.32,1713,241
0.00,0.11,1713,242
0.00,0.90,1713,242
0.00,1.69,1713,243
180.00,178.56,1245,244
180.00,179.36,1245,242
180.00,180.15,1245,241
180.00,180.94,1245,231
180.00,181.73,715,230
270.00,268.23,762,237
270.00,269.02,762,237
270.00,269.82,762,239
270.00,270.61,762,234
270.00,271.37,762,239
0.00,358.06,1713,240
0.00,359.86,1713,242
0.00,1.67,1713,243
90.00,88.46,1962,237
90.00,89.25,1962,237
90.00,90.04,1962,235
90.00,90.83,1962,238
90.00,91.62,1946,238
180.00,178.27,1245,243
180.00,179.07,1245,242
180.00,179.86,1245,240
180.00,180.66,1245,238
180.00,181.45,715,232
270.00,271.04,1245,235
270.00,271.70,793,238
0.00,358.70,1713,241
0.00,359.52,1713,242
0.00,0.34,1713,242
0.00,1.15,1713,243
0.00,1.97,1713,243
90.00,88.53,1947,237
90.00,89.32,1947,236
90.00,90.11,1947,237
90.00,90.90,1962,236
90.00,91.68,1947,238
270.00,268.71,746,236
270.00,269.50,762,238
270.00,270.29,762,237
270.00,271.07,762,237
270.00,271.86,762,237
0.00,358.56,1712,241
0.00,359.35,1712,241
0.00,0.14,1712,241
0.00,0.93,1712,243
0.00,1.73,1712,242
180.00,180.12,2102,235
180.00,178.66,1229,243
180.00,179.44,1245,241
180.00,180.21,1245,241
180.00,180.99,1245,230
180.00,181.77,668,228
270.00,268.43,762,238
270.00,269.23,762,238
270.00,270.02,746,237
270.00,270.81,762,234
270.00,271.61,762,236
0.00,1.37,39182,125
0.00,0.85,1775,242
90.00,88.40,1962,238
90.00,89.19,1946,238
90.00,89.99,1962,237
90.00,90.78,1946,237
90.00,91.58,1962,239
180.00,179.82,3372,14
270.00,268.15,762,237
270.00,268.95,762,236
270.00,269.74,762,237
270.00,270.54,762,234
270.00,271.33,762,236
0.00,358.52,1713,241
0.00,359.27,1713,242
0.00,0.06,1713,243
0.00,0.89,1713,242
0.00,1.73,1713,241
180.00,178.01,1230,242
180.00,178.84,1245,240
180.00,179.63,1230,240
180.00,180.44,1245,239
180.00,181.25,715,231
270.00,268.46,762,236
270.00,269.25,762,237
270.00,270.03,762,236
270.00,270.82,762,233
270.00,271.61,762,236
0.00,0.66,11348,7
180.00,180.32,1744,156
0.00,0.91,1713,242
0.00,1.71,1713,243
90.00,88.45,1946,235
90.00,89.24,1946,235
90.00,90.03,1962,238
90.00,90.81,1946,236
90.00,91.60,1946,237
270.00,268.79,762,239
270.00,269.58,762,238
270.00,270.37,762,238
270.00,271.16,762,234
270.00,271.95,762,238
0.00,358.37,1713,242
0.00,359.16,1713,241
0.00,359.96,1713,241
0.00,0.75,1713,242
0.00,1.50,1713,242
180.00,178.40,1245,243
180.00,179.19,1245,241
180.00,179.99,1245,241
180.00,180.75,1245,231
180.00,181.55,715,228
90.00,88.21,6636,3
0.00,358.08,1713,242
0.00,358.87,1713,239
0.00,359.66,1713,241
0.00,0.46,1713,241
0.00,1.25,1713,244
0.00,0.82,491,9
90.00,88.27,1962,237
90.00,89.07,1962,237
90.00,89.86,1946,237
90.00,90.65,1946,237
90.00,91.45,1946,237
180.00,179.48,1292,242
270.00,268.20,762,238
270.00,268.99,762,237
270.00,269.78,762,240
270.00,270.57,762,236
270.00,271.36,762,235
0.00,358.07,1712,240
0.00,358.86,1712,242
0.00,359.65,1712,241
0.00,0.44,1712,243
0.00,1.22,1712,242
180.00,178.46,1245,240
180.00,179.25,1245,241
180.00,180.03,1229,239
180.00,180.82,715,228
180.00,181.61,637,222
0.00,358.06,1712,239
0.00,358.85,1712,241
0.00,359.64,1712,240
0.00,0.43,1697,243
0.00,1.23,1712,241
90.00,88.03,1962,237
90.00,88.82,1962,238
90.00,89.58,1962,237
90.00,90.34,1946,237
90.00,91.09,1962,237
90.00,91.85,1962,237
180.00,179.68,1728,234
0.00,382.33,21123,183
0.00,413.66,61445,183
0.00,445.00,62469,152
0.00,476.33,59909,121
90.00,476.33,59909,121
0.00,507.66,60165,89
90.00,507.66,60165,89
0.00,538.99,59909,58
90.00,538.99,59909,58
180.00,538.99,59909,58
0.00,570.32,59909,27
90.00,570.32,59909,27
180.00,570.32,59909,27
0.00,601.65,59909,11
90.00,601.65,59909,11
180.00,601.65,59909,11
0.00,358.57,1713,241
0.00,359.37,1713,239
0.00,0.16,1697,242
0.00,0.96,1697,243
0.00,1.75,1713,243
90.00,88.31,1962,236
90.00,89.10,1962,235
180.00,178.15,1245,242
180.00,178.94,1245,240
180.00,179.74,1245,239
180.00,180.53,1245,229
180.00,181.33,715,229
270.00,268.52,762,237
270.00,269.36,747,238
270.00,270.20,762,239
270.00,271.03,762,235
270.00,271.87,762,238
0.00,359.33,56809,130
90.00,88.19,1962,237
90.00,88.95,1946,237
90.00,89.74,1946,238
90.00,90.51,1946,236
90.00,91.28,1962,236
180.00,178.04,1245,242
180.00,178.82,1245,241
180.00,179.61,1245,240
180.00,180.40,1245,237
180.00,181.19,715,234
180.00,181.97,559,225
0.00,358.76,1712,243
0.00,359.55,1697,242
0.00,0.34,1697,243
0.00,1.13,1697,242
0.00,1.92,1712,243
90.00,88.16,1962,237
90.00,88.90,1962,237
90.00,89.64,1962,237
90.00,90.47,1946,237
90.00,91.23,1962,238
90.00,91.99,1962,237
270.00,268.91,1198,241
270.00,268.45,762,237
270.00,269.24,762,239
270.00,270.07,762,238
270.00,270.90,762,234
270.00,271.73,762,238
0.00,358.59,1712,242
0.00,359.38,1712,242
0.00,0.17,1712,244
0.00,0.97,1712,242
0.00,1.76,1712,244
180.00,178.54,1245,242
180.00,179.33,1245,243
180.00,180.13,1245,240
180.00,180.92,1245,225
180.00,181.71,668,226
270.00,268.81,762,238
270.00,269.56,746,238
270.00,270.38,762,238
270.00,271.20,762,237
0.00,1.29,20238,124
90.00,88.34,58083,8
90.00,88.00,1962,238
90.00,88.76,1946,237
90.00,89.53,1962,236
90.00,90.29,1946,236
90.00,91.08,1946,237
90.00,91.86,1962,237
270.00,268.02,762,238
270.00,268.79,746,237
270.00,269.57,762,238
270.00,270.36,762,236
270.00,271.20,762,236
0.00,358.63,1713,242
0.00,359.42,1713,242
0.00,0.21,1713,242
0.00,1.00,1713,243
0.00,1.79,1713,242
90.00,89.76,2009,233
180.00,178.58,1245,239
180.00,179.37,1245,241
180.00,180.16,1245,238
180.00,180.94,715,230
180.00,181.73,637,222
270.00,268.61,762,238
270.00,269.41,762,241
270.00,270.21,762,238
270.00,271.04,762,234
270.00,271.87,762,239
90.00,88.59,1962,237
90.00,89.38,1962,237
90.00,90.17,1946,239
90.00,90.96,1946,237
90.00,91.75,1962,236
0.00,359.11,44785,4
270.00,268.08,762,238
270.00,268.87,762,238
270.00,269.66,746,237
270.00,270.46,762,235
270.00,271.25,762,234
0.00,358.03,1712,240
0.00,358.82,1712,242
0.00,359.61,1712,243
0.00,0.40,1712,243
0.00,1.19,1712,243
0.00,1.98,1712,244
180.00,178.58,1245,242
180.00,179.37,1245,240
180.00,180.17,1245,239
180.00,180.96,730,225
180.00,181.76,653,226
90.00,89.02,777,237
0.00,358.34,1712,241
0.00,359.13,1712,241
0.00,359.95,1697,241
0.00,0.78,1697,244
0.00,1.60,1712,243
90.00,88.61,1962,237
90.00,89.39,1962,236
90.00,90.18,1946,236
90.00,90.97,1962,238
90.00,91.76,1946,236
270.00,268.35,746,238
270.00,269.13,762,238
270.00,269.92,762,238
270.00,270.71,762,233
270.00,271.49,762,240
0.00,358.21,1713,242
0.00,358.99,1713,242
0.00,359.81,1697,242
0.00,0.62,1697,243
0.00,1.42,1713,241
0.00,359.77,2055,236
180.00,178.63,1229,244
180.00,179.46,1245,241
180.00,180.29,1245,237
180.00,181.12,715,233
180.00,181.95,575,226
270.00,268.70,762,238
270.00,269.49,762,237
270.00,270.28,762,235
270.00,271.07,762,238
270.00,271.86,762,239
90.00,88.19,1946,236
90.00,88.98,1962,236
90.00,89.78,1946,238
90.00,90.57,1962,236
90.00,91.37,1946,237
180.00,179.32,1323,242
270.00,268.73,746,236
270.00,269.52,762,238
270.00,270.32,762,238
270.00,271.11,762,235
270.00,271.91,762,237
0.00,0.31,39033,5
0.00,358.48,1712,240
0.00,359.23,1712,242
0.00,359.98,1712,242
0.00,0.77,1712,242
0.00,1.59,1712,240
180.00,178.01,1245,243
180.00,178.80,1229,241
180.00,179.59,1245,242
180.00,180.40,1245,237
180.00,181.21,715,232
0.00,358.97,11348,5
0.00,358.07,1712,241
0.00,358.83,1712,240
0.00,359.60,1712,241
0.00,0.36,1712,243
0.00,1.15,1712,242
0.00,1.98,1712,242
90.00,88.56,1946,237
90.00,89.35,1946,236
90.00,90.14,1961,236
90.00,90.94,1961,237
90.00,91.73,1946,239
180.00,179.54,1322,241
270.00,268.74,761,238
270.00,269.53,761,237
270.00,270.33,761,237
270.00,271.12,761,236
270.00,271.91,761,240
0.00,358.43,1712,239
0.00,359.22,1712,240
0.00,0.01,1712,243
0.00,0.80,1712,242
0.00,1.63,1712,242
180.00,178.35,1245,240
180.00,179.14,1229,241
180.00,179.94,1245,242
180.00,180.73,715,226
180.00,181.54,668,224
270.00,268.59,762,237
270.00,269.38,762,238
270.00,270.17,762,237
270.00,270.97,762,235
270.00,271.76,762,238
0.00,358.43,1713,242
0.00,0.06,1713,241
0.00,1.69,1713,242
90.00,88.42,1962,238
90.00,89.22,1946,237
90.00,90.01,1946,237
90.00,90.80,1946,235
90.00,91.60,1962,239
0.00,0.44,48885,4
270.00,268.46,762,237
