tempo_us,x_m,y_m,z_m,lidar_angle_deg,distance_m,intensity,X_lidar_m,Y_lidar_m,Z_lidar_m,X_body_m,Y_body_m,Z_body_m,X_global_m,Y_global_m,Z_global_m
11526609,0.0,0.0195555555555555,0.0,114.71000000000001,0.995,238,0.9038930559663513,0.0,-0.41593550386545586,0.9038930559663513,0.0,-0.41593550386545586,0.898944204471385,-0.08152667551304965,-0.41437507141417423
11672795,0.0,0.0195555555555555,0.0,19.36,0.726,239,0.24067085663836468,0.0,0.6849478365284146,0.24067085663836468,0.0,0.6849478365284146,0.2487353967973081,0.18622160656807005,0.6613842527759333
11764577,0.0,0.0195555555555555,0.0,51.910000000000004,0.304,241,0.23926098172760313,0.0,0.18753714998032672,0.23926098172760313,0.0,0.18753714998032672,0.24142510173024448,0.06529031750583511,0.17899232330994636
11764577,0.0,0.0195555555555555,0.0,115.25,0.751,236,0.6792458142362303,0.0,-0.3203531236659952,0.6792458142362303,0.0,-0.3203531236659952,0.6754711499966027,-0.058691511689425095,-0.3187744061084992
11909834,0.0,0.0195555555555555,0.0,232.54,0.886,241,-0.7032874343197982,0.0,-0.5388717702087161,-0.7032874343197982,0.0,-0.5388717702087161,-0.7093968077241831,-0.11166548611454105,-0.5143279181745369
11909834,0.0,0.0195555555555555,0.0,221.75,0.067,239,-0.04461407162205589,0.0,-0.04998584412913388,-0.04461407162205589,0.0,-0.04998584412913388,-0.045182214787153056,0.007385125189111238,-0.04795256084530939
11909834,0.0,0.0195555555555555,0.0,219.59,0.10300000000000001,236,-0.06564081851140038,0.0,-0.07937432169885547,-0.06564081851140038,0.0,-0.07937432169885547,-0.06654335596647715,0.0002301091746404263,-0.07620701344953158
12037333,0.0,0.0195555555555555,0.0,275.55,0.605,232,-0.6021638677875656,0.0,0.05851218959429934,-0.6021638677875656,0.0,0.05851218959429934,-0.601470567878696,0.03357570256684404,0.06373061629594219
12037333,0.0,0.0195555555555555,0.0,108.93,0.136,193,0.12864452518827812,0.0,-0.044120133035638914,0.12864452518827812,0.0,-0.044120133035638914,0.12814367119751627,0.008857644919804664,-0.04428040469612178
12257810,0.0,0.0195555555555555,0.0,3.36,0.14100000000000001,197,0.008263933339864606,0.0,0.14075761935239697,0.008263933339864606,0.0,0.14075761935239697,0.009834395320221977,0.05381087856713991,0.13642161674037445
12257810,0.0,0.0195555555555555,0.0,5.88,0.295,226,0.030221367555384904,0.0,0.2934478981745862,0.030221367555384904,0.0,0.2934478981745862,0.033494552440192164,0.09097473367436548,0.2842576576869388
12328020,0.0,0.0195555555555555,0.0,249.34,0.854,237,-0.7990797509147863,0.0,-0.30130972715457266,-0.7990797509147863,0.0,-0.30130972715457266,-0.8023733535940818,-0.054007456175269634,-0.28302205699781985
12402872,0.0,0.0195555555555555,0.0,170.96,0.636,242,0.09993084072441473,0.0,-0.6281001728005745,0.09993084072441473,0.0,-0.6281001728005745,0.09283420365963009,-0.1328000611948179,-0.6104634114142269
12402872,0.0,0.0195555555555555,0.0,191.63,0.652,137,-0.13143720027024522,0.0,-0.6386143299246576,-0.13143720027024522,0.0,-0.6386143299246576,-0.13863644283651955,-0.13547975698751075,-0.6179384990290784
12525893,0.0,0.0195555555555555,0.0,142.66,0.605,241,0.36695887666841676,0.0,-0.48100538753142225,0.36695887666841676,0.0,-0.48100538753142225,0.36165474855584273,-0.09676825785567142,-0.4708498840187605
