tempo_us,ax1,ay1,az1,gx1,gy1,gz1,ax2,ay2,az2,gx2,gy2,gz2,angle,distance,intensity,tof_mm,flow_dx,flow_dy
11441030,39,-4241,15880,-52,-133,-185,-451,-3812,16007,-91,-557,-481,23358,633,226,87,0,0
11441030,39,-4241,15880,-52,-133,-185,-451,-3812,16007,-91,-557,-481,21885,21491,0,87,0,0
11441030,39,-4241,15880,-52,-133,-185,-451,-3812,16007,-91,-557,-481,20411,21481,84,87,0,0
11441030,39,-4241,15880,-52,-133,-185,-451,-3812,16007,-91,-557,-481,18937,4396,168,87,0,0
11441030,39,-4241,15880,-52,-133,-185,-451,-3812,16007,-91,-557,-481,17463,45868,126,87,0,0
11441030,39,-4241,15880,-52,-133,-185,-451,-3812,16007,-91,-557,-481,15989,135,119,87,0,0
11441030,39,-4241,15880,-52,-133,-185,-451,-3812,16007,-91,-557,-481,14515,41581,0,87,0,0
11441030,39,-4241,15880,-52,-133,-185,-451,-3812,16007,-91,-557,-481,13041,34514,211,87,0,0
11441030,39,-4241,15880,-52,-133,-185,-451,-3812,16007,-91,-557,-481,11567,54016,254,87,0,0
11441030,39,-4241,15880,-52,-133,-185,-451,-3812,16007,-91,-557,-481,10093,112,145,87,0,0
11441030,39,-4241,15880,-52,-133,-185,-451,-3812,16007,-91,-557,-481,8619,133,161,87,0,0
11441030,39,-4241,15880,-52,-133,-185,-451,-3812,16007,-91,-557,-481,7145,59893,1,87,0,0
11569674,22,-4306,15950,-5,-104,-182,-550,-3796,16119,-63,-543,-478,1318,146,161,88,0,0
11569674,22,-4306,15950,-5,-104,-182,-550,-3796,16119,-63,-543,-478,1361,60288,1,88,0,0
11569674,22,-4306,15950,-5,-104,-182,-550,-3796,16119,-63,-543,-478,1405,20712,1,88,0,0
11569674,22,-4306,15950,-5,-104,-182,-550,-3796,16119,-63,-543,-478,1449,33986,147,88,0,0
11569674,22,-4306,15950,-5,-104,-182,-550,-3796,16119,-63,-543,-478,1493,60418,2,88,0,0
11569674,22,-4306,15950,-5,-104,-182,-550,-3796,16119,-63,-543,-478,1537,11641,86,88,0,0
11569674,22,-4306,15950,-5,-104,-182,-550,-3796,16119,-63,-543,-478,1581,31216,3,88,0,0
11569674,22,-4306,15950,-5,-104,-182,-550,-3796,16119,-63,-543,-478,1625,29420,21,88,0,0
11569674,22,-4306,15950,-5,-104,-182,-550,-3796,16119,-63,-543,-478,1669,61444,29,88,0,0
11569674,22,-4306,15950,-5,-104,-182,-550,-3796,16119,-63,-543,-478,1713,59398,34,88,0,0
11569674,22,-4306,15950,-5,-104,-182,-550,-3796,16119,-63,-543,-478,1757,4077,84,88,0,0
11569674,22,-4306,15950,-5,-104,-182,-550,-3796,16119,-63,-543,-478,1801,1836,230,88,0,0
11631676,19,-4238,15927,-31,-137,-151,-288,-3755,16021,-108,-541,-476,116,31217,2,90,0,0
11631676,19,-4238,15927,-31,-137,-151,-288,-3755,16021,-108,-541,-476,3477,21258,245,90,0,0
11631676,19,-4238,15927,-31,-137,-151,-288,-3755,16021,-108,-541,-476,6839,159,83,90,0,0
11631676,19,-4238,15927,-31,-137,-151,-288,-3755,16021,-108,-541,-476,10201,11694,87,90,0,0
11631676,19,-4238,15927,-31,-137,-151,-288,-3755,16021,-108,-541,-476,13563,64228,210,90,0,0
11631676,19,-4238,15927,-31,-137,-151,-288,-3755,16021,-108,-541,-476,16925,47872,146,90,0,0
11631676,19,-4238,15927,-31,-137,-151,-288,-3755,16021,-108,-541,-476,20286,47872,187,90,0,0
11631676,19,-4238,15927,-31,-137,-151,-288,-3755,16021,-108,-541,-476,23648,115,211,90,0,0
11631676,19,-4238,15927,-31,-137,-151,-288,-3755,16021,-108,-541,-476,27010,33156,159,90,0,0
11631676,19,-4238,15927,-31,-137,-151,-288,-3755,16021,-108,-541,-476,30372,37120,140,90,0,0
11631676,19,-4238,15927,-31,-137,-151,-288,-3755,16021,-108,-541,-476,33734,256,238,90,0,0
11631676,19,-4238,15927,-31,-137,-151,-288,-3755,16021,-108,-541,-476,1096,8457,129,90,0,0
11738699,43,-4170,15957,-40,-149,-145,-305,-3862,16042,-105,-536,-467,225,3483,1,90,0,0
11738699,43,-4170,15957,-40,-149,-145,-305,-3862,16042,-105,-536,-467,1236,22565,228,90,0,0
11738699,43,-4170,15957,-40,-149,-145,-305,-3862,16042,-105,-536,-467,2247,53760,0,90,0,0
11738699,43,-4170,15957,-40,-149,-145,-305,-3862,16042,-105,-536,-467,3258,157,164,90,0,0
11738699,43,-4170,15957,-40,-149,-145,-305,-3862,16042,-105,-536,-467,4269,33455,0,90,0,0
11738699,43,-4170,15957,-40,-149,-145,-305,-3862,16042,-105,-536,-467,5280,25555,0,90,0,0
11738699,43,-4170,15957,-40,-149,-145,-305,-3862,16042,-105,-536,-467,6292,29780,0,90,0,0
11738699,43,-4170,15957,-40,-149,-145,-305,-3862,16042,-105,-536,-467,7303,29907,42,90,0,0
11738699,43,-4170,15957,-40,-149,-145,-305,-3862,16042,-105,-536,-467,8314,14894,148,90,0,0
11738699,43,-4170,15957,-40,-149,-145,-305,-3862,16042,-105,-536,-467,9325,137,132,90,0,0
11738699,43,-4170,15957,-40,-149,-145,-305,-3862,16042,-105,-536,-467,10336,52849,211,90,0,0
11738699,43,-4170,15957,-40,-149,-145,-305,-3862,16042,-105,-536,-467,11348,555,237,90,0,0
11862823,-36,-4262,15950,-14,-108,-188,-464,-3767,16095,-82,-537,-480,18944,28875,0,87,0,0
11862823,-36,-4262,15950,-14,-108,-188,-464,-3767,16095,-82,-537,-480,20870,49614,132,87,0,0
11862823,-36,-4262,15950,-14,-108,-188,-464,-3767,16095,-82,-537,-480,22797,30464,123,87,0,0
11862823,-36,-4262,15950,-14,-108,-188,-464,-3767,16095,-82,-537,-480,24724,54785,182,87,0,0
11862823,-36,-4262,15950,-14,-108,-188,-464,-3767,16095,-82,-537,-480,26651,125,235,87,0,0
11862823,-36,-4262,15950,-14,-108,-188,-464,-3767,16095,-82,-537,-480,28578,511,234,87,0,0
11862823,-36,-4262,15950,-14,-108,-188,-464,-3767,16095,-82,-537,-480,30505,7073,2,87,0,0
11862823,-36,-4262,15950,-14,-108,-188,-464,-3767,16095,-82,-537,-480,32432,7152,43,87,0,0
11862823,-36,-4262,15950,-14,-108,-188,-464,-3767,16095,-82,-537,-480,34359,60930,240,87,0,0
11862823,-36,-4262,15950,-14,-108,-188,-464,-3767,16095,-82,-537,-480,286,60163,5,87,0,0
11862823,-36,-4262,15950,-14,-108,-188,-464,-3767,16095,-82,-537,-480,2213,4843,234,87,0,0
11862823,-36,-4262,15950,-14,-108,-188,-464,-3767,16095,-82,-537,-480,4140,58886,84,87,0,0
12090488,94,-4253,16025,2,-88,-186,-478,-3765,16091,-36,-539,-462,24883,602,240,90,0,0
12090488,94,-4253,16025,2,-88,-186,-478,-3765,16091,-36,-539,-462,22629,47087,2,90,0,0
12090488,94,-4253,16025,2,-88,-186,-478,-3765,16091,-36,-539,-462,20374,55023,239,90,0,0
12090488,94,-4253,16025,2,-88,-186,-478,-3765,16091,-36,-539,-462,18120,6856,225,90,0,0
12090488,94,-4253,16025,2,-88,-186,-478,-3765,16091,-36,-539,-462,15865,59407,15,90,0,0
12090488,94,-4253,16025,2,-88,-186,-478,-3765,16091,-36,-539,-462,13610,28897,8,90,0,0
12090488,94,-4253,16025,2,-88,-186,-478,-3765,16091,-36,-539,-462,11356,34604,47,90,0,0
12090488,94,-4253,16025,2,-88,-186,-478,-3765,16091,-36,-539,-462,9101,60898,247,90,0,0
12090488,94,-4253,16025,2,-88,-186,-478,-3765,16091,-36,-539,-462,6846,1006,240,90,0,0
12090488,94,-4253,16025,2,-88,-186,-478,-3765,16091,-36,-539,-462,4592,14292,2,90,0,0
12090488,94,-4253,16025,2,-88,-186,-478,-3765,16091,-36,-539,-462,2337,58866,2,90,0,0
12090488,94,-4253,16025,2,-88,-186,-478,-3765,16091,-36,-539,-462,82,61698,120,90,0,0
12171100,-56,-4276,15878,-32,-116,-201,-524,-3812,16035,-69,-544,-474,34725,120,119,90,0,0
12171100,-56,-4276,15878,-32,-116,-201,-524,-3812,16035,-69,-544,-474,1064,38811,1,90,0,0
12171100,-56,-4276,15878,-32,-116,-201,-524,-3812,16035,-69,-544,-474,3404,3240,1,90,0,0
12171100,-56,-4276,15878,-32,-116,-201,-524,-3812,16035,-69,-544,-474,5743,32442,0,90,0,0
12171100,-56,-4276,15878,-32,-116,-201,-524,-3812,16035,-69,-544,-474,8083,59137,2,90,0,0
12171100,-56,-4276,15878,-32,-116,-201,-524,-3812,16035,-69,-544,-474,10422,523,235,90,0,0
12171100,-56,-4276,15878,-32,-116,-201,-524,-3812,16035,-69,-544,-474,12762,61195,42,90,0,0
12171100,-56,-4276,15878,-32,-116,-201,-524,-3812,16035,-69,-544,-474,15101,752,240,90,0,0
12171100,-56,-4276,15878,-32,-116,-201,-524,-3812,16035,-69,-544,-474,17441,4022,2,90,0,0
12171100,-56,-4276,15878,-32,-116,-201,-524,-3812,16035,-69,-544,-474,19780,62958,3,90,0,0
12171100,-56,-4276,15878,-32,-116,-201,-524,-3812,16035,-69,-544,-474,22120,28908,221,90,0,0
12171100,-56,-4276,15878,-32,-116,-201,-524,-3812,16035,-69,-544,-474,24460,59663,84,90,0,0
12262490,43,-4301,15980,-40,-110,-180,-457,-3825,16030,-104,-550,-468,140,27329,250,90,0,0
12262490,43,-4301,15980,-40,-110,-180,-457,-3825,16030,-104,-550,-468,558,34671,0,90,0,0
12262490,43,-4301,15980,-40,-110,-180,-457,-3825,16030,-104,-550,-468,977,36352,143,90,0,0
12262490,43,-4301,15980,-40,-110,-180,-457,-3825,16030,-104,-550,-468,1396,34560,38,90,0,0
12262490,43,-4301,15980,-40,-110,-180,-457,-3825,16030,-104,-550,-468,1815,261,238,90,0,0
12262490,43,-4301,15980,-40,-110,-180,-457,-3825,16030,-104,-550,-468,2234,36873,1,90,0,0
12262490,43,-4301,15980,-40,-110,-180,-457,-3825,16030,-104,-550,-468,2653,21739,44,90,0,0
12262490,43,-4301,15980,-40,-110,-180,-457,-3825,16030,-104,-550,-468,3072,12315,21,90,0,0
12262490,43,-4301,15980,-40,-110,-180,-457,-3825,16030,-104,-550,-468,3491,15088,2,90,0,0
12262490,43,-4301,15980,-40,-110,-180,-457,-3825,16030,-104,-550,-468,3910,19184,240,90,0,0
12262490,43,-4301,15980,-40,-110,-180,-457,-3825,16030,-104,-550,-468,4329,60931,51,90,0,0
12262490,43,-4301,15980,-40,-110,-180,-457,-3825,16030,-104,-550,-468,4748,39427,4,90,0,0
12373356,-124,-4216,15948,-14,-127,-179,-408,-3797,16066,-93,-544,-476,32512,60161,144,90,0,0
12373356,-124,-4216,15948,-14,-127,-179,-408,-3797,16066,-93,-544,-476,34619,59393,27,90,0,0
12373356,-124,-4216,15948,-14,-127,-179,-408,-3797,16066,-93,-544,-476,726,61186,11,90,0,0
12373356,-124,-4216,15948,-14,-127,-179,-408,-3797,16066,-93,-544,-476,2834,523,239,90,0,0
12373356,-124,-4216,15948,-14,-127,-179,-408,-3797,16066,-93,-544,-476,4941,570,84,90,0,0
12373356,-124,-4216,15948,-14,-127,-179,-408,-3797,16066,-93,-544,-476,7049,12447,170,90,0,0
12373356,-124,-4216,15948,-14,-127,-179,-408,-3797,16066,-93,-544,-476,9156,5359,3,90,0,0
12373356,-124,-4216,15948,-14,-127,-179,-408,-3797,16066,-93,-544,-476,11264,7662,240,90,0,0
12373356,-124,-4216,15948,-14,-127,-179,-408,-3797,16066,-93,-544,-476,13371,58887,118,90,0,0
12373356,-124,-4216,15948,-14,-127,-179,-408,-3797,16066,-93,-544,-476,15479,3847,233,90,0,0
12373356,-124,-4216,15948,-14,-127,-179,-408,-3797,16066,-93,-544,-476,17586,56270,34,90,0,0
12373356,-124,-4216,15948,-14,-127,-179,-408,-3797,16066,-93,-544,-476,19694,12465,3,90,0,0
12544014,-39,-4212,15883,-61,-134,-179,-454,-3823,16032,-130,-540,-455,21979,163,228,87,0,0
12544014,-39,-4212,15883,-61,-134,-179,-454,-3823,16032,-130,-540,-455,21013,47345,0,87,0,0
12544014,-39,-4212,15883,-61,-134,-179,-454,-3823,16032,-130,-540,-455,20047,495,148,87,0,0
12544014,-39,-4212,15883,-61,-134,-179,-454,-3823,16032,-130,-540,-455,19080,24075,117,87,0,0
12544014,-39,-4212,15883,-61,-134,-179,-454,-3823,16032,-130,-540,-455,18114,41216,0,87,0,0
12544014,-39,-4212,15883,-61,-134,-179,-454,-3823,16032,-130,-540,-455,17147,36051,0,87,0,0
12544014,-39,-4212,15883,-61,-134,-179,-454,-3823,16032,-130,-540,-455,16181,28115,0,87,0,0
12544014,-39,-4212,15883,-61,-134,-179,-454,-3823,16032,-130,-540,-455,15214,47297,123,87,0,0
12544014,-39,-4212,15883,-61,-134,-179,-454,-3823,16032,-130,-540,-455,14248,38656,225,87,0,0
12544014,-39,-4212,15883,-61,-134,-179,-454,-3823,16032,-130,-540,-455,13281,52481,2,87,0,0
12544014,-39,-4212,15883,-61,-134,-179,-454,-3823,16032,-130,-540,-455,12315,10986,2,87,0,0
12544014,-39,-4212,15883,-61,-134,-179,-454,-3823,16032,-130,-540,-455,11348,539,237,87,0,0
12615346,-130,-4206,15834,-83,-121,-167,-469,-3632,16033,-94,-551,-459,16495,58845,25,92,0,0
12615346,-130,-4206,15834,-83,-121,-167,-469,-3632,16033,-94,-551,-459,15349,60679,138,92,0,0
12615346,-130,-4206,15834,-83,-121,-167,-469,-3632,16033,-94,-551,-459,14203,61186,16,92,0,0
12615346,-130,-4206,15834,-83,-121,-167,-469,-3632,16033,-94,-551,-459,13056,569,241,92,0,0
12615346,-130,-4206,15834,-83,-121,-167,-469,-3632,16033,-94,-551,-459,11910,710,240,92,0,0
12615346,-130,-4206,15834,-83,-121,-167,-469,-3632,16033,-94,-551,-459,10763,61838,83,92,0,0
12615346,-130,-4206,15834,-83,-121,-167,-469,-3632,16033,-94,-551,-459,9617,40161,243,92,0,0
12615346,-130,-4206,15834,-83,-121,-167,-469,-3632,16033,-94,-551,-459,8470,56815,82,92,0,0
12615346,-130,-4206,15834,-83,-121,-167,-469,-3632,16033,-94,-551,-459,7324,151,217,92,0,0
12615346,-130,-4206,15834,-83,-121,-167,-469,-3632,16033,-94,-551,-459,6177,43486,90,92,0,0
12615346,-130,-4206,15834,-83,-121,-167,-469,-3632,16033,-94,-551,-459,5031,30208,0,92,0,0
12615346,-130,-4206,15834,-83,-121,-167,-469,-3632,16033,-94,-551,-459,3884,30152,84,92,0,0
