tempo_us,x,y,angle_x,angle_y,angle_z,angle,distance,intensity
11417907,0.0,0.019555555555555555,-14.098962543663832,0.6854362621163579,0.0,1197,11328,168
11417907,0.0,0.019555555555555555,-14.098962543663832,0.6854362621163579,0.0,4574,48113,2
11417907,0.0,0.019555555555555555,-14.098962543663832,0.6854362621163579,0.0,7952,44019,109
11417907,0.0,0.019555555555555555,-14.098962543663832,0.6854362621163579,0.0,11330,60418,109
11417907,0.0,0.019555555555555555,-14.098962543663832,0.6854362621163579,0.0,14708,11348,14
11417907,0.0,0.019555555555555555,-14.098962543663832,0.6854362621163579,0.0,18086,22286,0
11417907,0.0,0.019555555555555555,-14.098962543663832,0.6854362621163579,0.0,21464,22517,87
11417907,0.0,0.019555555555555555,-14.098962543663832,0.6854362621163579,0.0,24842,62208,166
11417907,0.0,0.019555555555555555,-14.098962543663832,0.6854362621163579,0.0,28220,21504,4
11417907,0.0,0.019555555555555555,-14.098962543663832,0.6854362621163579,0.0,31598,62209,247
11417907,0.0,0.019555555555555555,-14.098962543663832,0.6854362621163579,0.0,34976,11504,183
11417907,0.0,0.019555555555555555,-14.098962543663832,0.6854362621163579,0.0,2354,59866,0
11526609,0.0,0.019555555555555555,-14.081281996075543,0.6952215630655578,0.007272909454697588,11336,59944,36
11526609,0.0,0.019555555555555555,-14.081281996075543,0.6952215630655578,0.007272909454697588,11403,59654,5
11526609,0.0,0.019555555555555555,-14.081281996075543,0.6952215630655578,0.007272909454697588,11471,995,238
11526609,0.0,0.019555555555555555,-14.081281996075543,0.6952215630655578,0.007272909454697588,11539,21700,44
11526609,0.0,0.019555555555555555,-14.081281996075543,0.6952215630655578,0.007272909454697588,11607,63752,2
11526609,0.0,0.019555555555555555,-14.081281996075543,0.6952215630655578,0.007272909454697588,11675,58012,109
11526609,0.0,0.019555555555555555,-14.081281996075543,0.6952215630655578,0.007272909454697588,11743,62466,109
11526609,0.0,0.019555555555555555,-14.081281996075543,0.6952215630655578,0.007272909454697588,11811,19837,148
11526609,0.0,0.019555555555555555,-14.081281996075543,0.6952215630655578,0.007272909454697588,11879,43776,212
11526609,0.0,0.019555555555555555,-14.081281996075543,0.6952215630655578,0.007272909454697588,11947,135,96
11526609,0.0,0.019555555555555555,-14.081281996075543,0.6952215630655578,0.007272909454697588,12015,43178,0
11526609,0.0,0.019555555555555555,-14.081281996075543,0.6952215630655578,0.007272909454697588,12083,28628,0
11672795,0.0,0.019555555555555555,-14.085015088179611,0.6956803883090732,-0.0054771865781452714,111,11630,219
11672795,0.0,0.019555555555555555,-14.085015088179611,0.6956803883090732,-0.0054771865781452714,476,37508,0
11672795,0.0,0.019555555555555555,-14.085015088179611,0.6956803883090732,-0.0054771865781452714,841,43623,238
11672795,0.0,0.019555555555555555,-14.085015088179611,0.6956803883090732,-0.0054771865781452714,1206,60417,151
11672795,0.0,0.019555555555555555,-14.085015088179611,0.6956803883090732,-0.0054771865781452714,1571,5377,134
11672795,0.0,0.019555555555555555,-14.085015088179611,0.6956803883090732,-0.0054771865781452714,1936,726,239
11672795,0.0,0.019555555555555555,-14.085015088179611,0.6956803883090732,-0.0054771865781452714,2301,19970,2
11672795,0.0,0.019555555555555555,-14.085015088179611,0.6956803883090732,-0.0054771865781452714,2666,20205,239
